episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
151,3372,loss,22,-68.00,0,8,0.9359,0,2.713828
152,3386,loss,14,-65.00,0,7,0.9357,0,2.989047
153,3407,loss,21,-68.50,0,7,0.9353,0,2.326097
154,3507,timeout,100,-64.49,2,8,0.9334,0,2.379214
155,3530,loss,23,-69.50,0,8,0.9329,0,2.288336
156,3549,loss,19,-69.00,0,8,0.9326,0,2.125768
157,3564,loss,15,-64.00,0,7,0.9323,0,2.308793
158,3579,loss,15,-63.00,0,7,0.9320,0,2.146415
159,3594,loss,15,-65.50,0,7,0.9317,0,2.479349
160,3616,loss,22,-67.00,0,7,0.9313,0,2.670585
161,3639,loss,23,-67.00,0,7,0.9309,0,2.365344
162,3653,loss,14,-64.00,0,8,0.9306,0,3.069875
163,3668,loss,15,-64.00,0,7,0.9303,0,2.486898
164,3679,loss,11,-63.50,0,7,0.9301,0,2.307540
165,3703,loss,24,-71.00,0,8,0.9296,0,2.761374
166,3726,loss,23,-69.00,0,8,0.9292,0,2.610720
167,3757,loss,31,-72.50,0,8,0.9286,0,2.713595
168,3776,loss,19,-67.50,0,8,0.9283,0,2.431730
169,3801,loss,25,-70.50,0,8,0.9278,0,2.663830
170,3901,timeout,100,-58.49,4,8,0.9259,0,2.508659
171,3918,loss,17,-67.50,0,8,0.9256,0,2.519049
172,3931,loss,13,-64.50,0,7,0.9253,0,2.417563
173,3944,loss,13,-65.50,0,7,0.9251,0,2.077951
174,3972,loss,28,-73.50,0,8,0.9245,0,2.162281
175,3997,loss,25,-68.00,0,7,0.9241,0,2.937733
176,4021,loss,24,-71.00,0,8,0.9236,0,2.145662
177,4044,loss,23,-68.00,0,7,0.9232,0,2.370826
178,4069,loss,25,-72.50,0,8,0.9227,0,2.566163
179,4089,loss,20,-69.50,0,8,0.9223,0,2.262935
180,4109,loss,20,-69.50,0,8,0.9219,0,2.223990
181,4136,loss,27,-71.00,0,8,0.9214,0,2.239208
182,4164,loss,28,-71.50,0,8,0.9209,0,2.427568
183,4191,loss,27,-70.50,0,8,0.9204,0,2.415202
184,4212,loss,21,-69.50,0,7,0.9200,0,2.290260
185,4236,loss,24,-66.50,0,8,0.9195,0,2.260998
186,4336,timeout,100,-66.49,1,8,0.9176,0,2.285053
187,4364,loss,28,-75.50,0,8,0.9171,0,2.830448
188,4377,loss,13,-64.50,0,7,0.9168,0,2.437753
