# run_timestamp,20260509_133737
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,500000
# grad_clip,1.0
# batch_size,64
# replay_capacity,500000
# beginner_max_turns,300
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
37,36277,timeout,1124,300,405.14,1,12,0.9311,0,0.823908,18,230,453,523,148,25,338,33,130,"NA:E,SA:N",0E19|1E19|2E19|3E19|4E19|5E19|6E19|7E19|8E19|9E19|10E20|11A18|12E20
38,37210,timeout,933,300,119.23,9,3,0.9293,0,0.798196,179,53,475,308,150,0,148,1,147,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A19|9E13|10E20|11N1|12E20
39,37501,loss,291,77,14.31,0,12,0.9287,0,0.814325,0,52,122,133,36,4,80,12,29,"NA:E,SA:N",0E1|1E1|2E1|3E8|4E3|5E2|6E8|7E9|8E3|9E12|10E2|11N1|12E2
40,38061,loss,560,141,218.90,0,12,0.9277,0,0.824437,0,59,226,268,66,16,168,24,45,"NA:E,SA:N",0E1|1E1|2E2|3E0|4E11|5E12|6E8|7E6|8E3|9E9|10E3|11N1|12E3
41,39164,timeout,1103,300,206.93,1,12,0.9256,0,0.792323,13,239,458,519,126,14,323,22,99,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E19|11E20|12A13
42,40205,loss,1041,255,392.91,0,12,0.9236,0,0.785173,0,60,430,506,105,26,321,33,100,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E8|5E6|6E10|7E12|8E3|9E12|10E2|11N1|12E3
43,41260,timeout,1055,300,461.45,9,3,0.9216,0,0.801072,175,60,510,395,150,19,218,19,144,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A15|9E20|10E20|11N1|12E20
44,42235,timeout,975,300,276.55,4,9,0.9198,0,0.765635,76,180,415,410,150,15,235,21,144,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A18|10A18|11A20|12A20
45,43189,timeout,954,300,285.04,4,9,0.9179,0,0.804841,76,180,418,386,150,14,213,20,142,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A16|10A20|11A20|12A20
46,44212,timeout,1023,300,251.53,5,8,0.9160,0,0.766988,100,93,460,413,150,12,242,16,128,"NA:N,SA:A",0E10|1E9|2E10|3E10|4E11|5E10|6E16|7E17|8A20|9A20|10A20|11A20|12A20
47,44688,win,476,109,346.56,13,0,0.9151,0,0.742603,77,0,222,200,54,11,123,9,52,"NA:A,SA:A",0A1|1A1|2A4|3A1|4A1|5A11|6A8|7A2|8A3|9A1|10A20|11A11|12A13
48,45746,timeout,1058,300,86.98,2,11,0.9131,0,0.770971,34,220,437,471,150,7,304,16,110,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E20|11A14|12A20
49,46640,win,894,201,614.04,13,0,0.9114,0,0.763751,144,0,431,363,100,24,228,21,90,"NA:A,SA:A",0A9|1A20|2A9|3A1|4A2|5A2|6A3|7A5|8A13|9A20|10A20|11A20|12A20
50,47852,timeout,1212,300,167.32,1,12,0.9091,0,0.761262,11,240,530,564,118,12,362,20,99,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E20|11A11|12E20
51,48827,timeout,975,300,283.75,4,9,0.9072,0,0.743092,75,178,426,399,150,14,226,20,140,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E18|9A20|10A20|11A15|12A20
52,49948,timeout,1121,300,582.11,8,4,0.9051,0,0.744912,83,46,500,471,150,29,284,30,141,"NA:N,SA:N",0A7|1A20|2A3|3A14|4A2|5A20|6A2|7A15|8E18|9E10|10E9|11N1|12E9
53,50927,win,979,223,908.59,13,0,0.9032,0,0.759844,163,0,459,409,111,39,249,34,102,"NA:A,SA:A",0A6|1A1|2A1|3A6|4A3|5A14|6A15|7A17|8A20|9A20|10A20|11A20|12A20
54,52113,win,1186,273,918.46,13,0,0.9010,0,0.768958,175,0,561,489,136,39,304,35,123,"NA:A,SA:A",0A1|1A11|2A18|3A7|4A3|5A15|6A6|7A15|8A19|9A20|10A20|11A20|12A20
55,53278,win,1165,263,933.05,13,0,0.8988,0,0.760265,117,0,525,509,131,42,326,37,128,"NA:A,SA:A",0A4|1A1|2A1|3A3|4A1|5A15|6A1|7A1|8A12|9A20|10A20|11A18|12A20
56,54553,timeout,1275,300,530.45,11,2,0.8963,0,0.780175,200,6,625,500,150,24,318,22,144,"NA:N,SA:A",0E1|1E5|2A20|3A3|4A17|5A20|6A20|7A20|8A20|9A20|10A20|11A20|12A20
57,55428,timeout,875,300,192.65,9,3,0.8947,0,0.749393,178,60,429,296,150,4,134,4,148,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E20|10E20|11N1|12E20
58,55985,loss,557,142,68.57,0,12,0.8936,0,0.766724,0,40,228,260,69,8,170,17,61,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E9|5E3|6E3|7E3|8E9|9E5|10E2|11N1|12E2
59,57077,timeout,1092,300,492.12,4,9,0.8916,0,0.760552,80,180,466,476,150,26,291,31,130,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A20|10A20|11A20|12A20
60,58232,loss,1155,276,222.15,0,13,0.8894,0,0.750139,0,240,493,556,106,17,360,26,87,"NA:E,SA:E",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E17|10E20|11E3|12E20
61,59075,loss,843,207,310.03,0,13,0.8878,0,0.719644,0,240,340,419,84,22,265,31,66,"NA:E,SA:E",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E17|10E20|11E3|12E20
62,59673,win,598,147,432.38,13,0,0.8866,0,0.756926,124,0,287,238,73,14,141,10,69,"NA:A,SA:A",0A3|1A2|2A7|3A2|4A19|5A1|6A3|7A17|8A4|9A9|10A20|11A20|12A17
63,60127,loss,454,106,186.44,0,13,0.8858,0,0.732966,0,101,176,231,47,15,148,24,39,"NA:E,SA:E",0E5|1E4|2E4|3E5|4E5|5E5|6E9|7E4|8E4|9E14|10E19|11E3|12E20
64,61194,timeout,1067,300,424.87,4,9,0.8837,0,0.759481,80,178,463,454,150,22,274,26,135,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E18|9A20|10A20|11A20|12A20
65,62164,loss,970,242,235.20,0,12,0.8819,0,0.750930,0,52,407,459,104,17,295,26,84,"NA:E,SA:N",0E1|1E6|2E1|3E2|4E13|5E3|6E2|7E5|8E3|9E8|10E4|11N1|12E4
66,63001,timeout,837,300,231.67,4,9,0.8803,0,0.708285,78,180,356,331,150,11,161,16,132,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A18|10A20|11A20|12A20
