# run_timestamp,20260509_074328
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
65,19401,timeout,300,60,-40.93,6,6,0.0785,0,0.188765,87,85,180,60,60,1,48,3,58,"NA:N,SA:N",0A2|1A16|2A20|3E19|4A20|5A9|6E20|7A20|8E16|9E10|10E10|11N1|12E10
66,19680,timeout,279,60,-45.48,5,7,0.0652,0,0.193534,76,77,159,60,60,1,46,3,59,"NA:N,SA:N",0E12|1A20|2A9|3E20|4A20|5A7|6E20|7A20|8E17|9E3|10E3|11N1|12E2
67,19957,timeout,277,60,-48.83,3,7,0.0520,0,0.176726,59,84,157,60,60,3,48,6,58,"NA:N,SA:N",0E19|1A19|2A20|3E20|4A20|5N1|6E20|7N1|8E7|9E6|10E6|11N1|12E6
68,20239,timeout,282,60,-37.01,3,6,0.0500,0,0.171374,58,74,162,60,60,0,54,1,58,"NA:N,SA:N",0A18|1A20|2N1|3E19|4A20|5N1|6E20|7N1|8E8|9E9|10E9|11N1|12E9
69,20537,timeout,298,60,-37.28,5,7,0.0500,0,0.172119,82,78,178,60,60,0,51,3,59,"NA:N,SA:N",0E8|1A18|2A7|3E20|4A20|5A17|6E20|7A20|8E11|9E6|10E6|11N1|12E7
70,20803,timeout,266,60,-38.64,3,6,0.0500,0,0.171960,39,76,146,60,60,1,52,3,60,"NA:N,SA:N",0A16|1A20|2N1|3E19|4A3|5N1|6E17|7N1|8E10|9E10|10E10|11N1|12E10
71,21073,timeout,270,60,-37.75,2,6,0.0500,0,0.163075,36,78,150,60,60,0,56,2,58,"NA:N,SA:N",0A16|1A20|2N1|3E20|4N1|5N1|6E14|7N1|8E11|9E11|10E11|11N1|12E11
72,21339,timeout,266,60,-44.62,3,6,0.0500,0,0.165620,57,63,145,61,60,0,53,2,59,"NA:N,SA:N",0A18|1A19|2N1|3E20|4A20|5N1|6E20|7N1|8E11|9E4|10E4|11N1|12E4
73,21639,timeout,300,60,-76.95,5,5,0.0500,0,0.158916,75,80,180,60,60,1,51,3,42,"NA:N,SA:N",0A1|1A20|2N1|3E2|4A18|5N1|6E20|7A20|8A16|9E18|10E20|11N1|12E20
74,21926,timeout,287,60,-28.91,6,6,0.0500,0,0.163877,70,81,167,60,60,0,48,2,56,"NA:N,SA:N",0A2|1A20|2A6|3E19|4A18|5A4|6E20|7A20|8E13|9E10|10E10|11N1|12E9
75,22216,timeout,290,60,-40.52,5,6,0.0500,0,0.155929,63,83,164,66,60,5,53,8,59,"NA:N,SA:N",0A17|1A20|2N1|3E18|4A5|5A1|6E20|7A20|8E20|9E8|10E9|11N1|12E8
76,22516,timeout,300,60,-90.38,6,6,0.0500,0,0.156187,92,79,180,60,60,4,46,7,59,"NA:N,SA:N",0E19|1A19|2A13|3E20|4A19|5A20|6E20|7A20|8A1|9E13|10E3|11N1|12E4
77,22795,timeout,279,60,-44.85,4,7,0.0500,0,0.146146,51,85,159,60,60,0,51,4,51,"NA:N,SA:N",0E18|1A20|2A11|3E20|4A17|5A3|6E18|7N1|8E15|9E6|10E4|11N1|12E4
