# run_timestamp,20260509_051936
# total_steps,10000
# learning_rate,0.00025
# gamma,0.95
# tau,0.01
# eps_decay,50000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,30
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
41,6172,timeout,150,30,-45.50,3,9,0.8827,0,0.164239,58,57,90,30,30,2,15,7,25,"NA:N,SA:N",0E1|1E7|2A20|3E3|4E3|5A20|6E19|7A18|8E14|9E3|10E4|11N1|12E3
42,6322,timeout,150,30,-17.50,6,6,0.8799,0,0.184078,55,55,90,30,30,0,17,1,27,"NA:N,SA:N",0A10|1A20|2A9|3E18|4A1|5A14|6E19|7A1|8E8|9E3|10E3|11N1|12E4
43,6472,timeout,150,30,-22.50,6,6,0.8770,0,0.179578,64,54,90,30,30,2,12,3,28,"NA:N,SA:N",0A5|1A3|2A7|3E14|4A9|5A20|6E20|7A20|8E9|9E3|10E4|11N1|12E4
44,6622,timeout,150,30,-19.00,6,6,0.8742,0,0.177689,63,59,90,30,30,0,13,2,26,"NA:N,SA:N",0A19|1A17|2A2|3E3|4A6|5A17|6E14|7A2|8E16|9E9|10E8|11N1|12E9
45,6772,timeout,150,30,-21.00,6,6,0.8713,0,0.188217,62,50,90,30,30,0,15,2,26,"NA:N,SA:N",0A20|1A11|2A7|3E18|4A20|5A1|6E17|7A3|8E2|9E4|10E4|11N1|12E5
46,6922,timeout,150,30,-21.00,6,6,0.8685,0,0.155546,60,51,90,30,30,0,17,2,28,"NA:N,SA:N",0A12|1A20|2A1|3E18|4A1|5A18|6E15|7A8|8E11|9E2|10E3|11N1|12E2
47,7072,timeout,150,30,-20.00,6,6,0.8656,0,0.160670,58,51,90,30,30,1,15,2,27,"NA:N,SA:N",0E20|1A18|2A2|3E20|4A20|5A4|6A13|7A1|8E3|9E3|10E3|11N1|12E2
48,7219,timeout,147,30,-27.18,5,7,0.8628,0,0.164973,55,56,87,30,30,1,15,3,25,"NA:N,SA:N",0E4|1A18|2A2|3E20|4A7|5A9|6E20|7A19|8E1|9E4|10E3|11N1|12E4
49,7369,timeout,150,30,-29.00,5,7,0.8600,0,0.153028,63,55,90,30,30,0,13,4,29,"NA:N,SA:N",0E1|1A11|2A20|3E20|4A4|5A20|6E13|7A8|8E8|9E7|10E3|11N1|12E3
50,7519,timeout,150,30,-26.50,6,6,0.8571,0,0.177175,67,42,90,30,30,2,15,4,28,"NA:N,SA:N",0A19|1A2|2A13|3E19|4A20|5A5|6E16|7A8|8E1|9E2|10E1|11N1|12E3
51,7669,timeout,150,30,-20.50,6,6,0.8543,0,0.169255,57,55,90,30,30,0,14,2,28,"NA:N,SA:N",0A14|1A3|2A20|3E18|4A1|5A17|6E17|7A2|8E12|9E3|10E2|11N1|12E3
52,7816,timeout,147,30,-17.68,6,6,0.8515,0,0.159635,57,55,87,30,30,0,15,1,23,"NA:N,SA:N",0A14|1A20|2A8|3E20|4A1|5A1|6E19|7A13|8E8|9E2|10E3|11N1|12E3
53,7966,timeout,150,30,-39.50,4,8,0.8486,0,0.160702,51,65,90,30,30,2,14,6,29,"NA:N,SA:N",0E1|1E6|2A20|3E12|4A1|5A20|6E20|7A10|8E17|9E3|10E3|11N1|12E3
54,8116,timeout,150,30,-21.00,6,6,0.8458,0,0.160465,63,46,90,30,30,0,16,2,23,"NA:N,SA:N",0A17|1A20|2A8|3E18|4A3|5A11|6E12|7A4|8E2|9E4|10E5|11N1|12E5
55,8266,timeout,150,30,-20.50,6,6,0.8429,0,0.157821,58,60,90,30,30,0,14,2,26,"NA:N,SA:N",0A14|1A2|2A20|3E20|4A19|5A2|6E20|7A1|8E9|9E3|10E4|11N1|12E4
56,8416,timeout,150,30,-19.00,6,6,0.8401,0,0.166504,66,56,90,30,30,0,13,2,27,"NA:N,SA:N",0A16|1A1|2A11|3E19|4A1|5A20|6E11|7A17|8E9|9E3|10E7|11N1|12E7
57,8566,timeout,150,30,-28.00,5,7,0.8372,0,0.157084,47,53,90,30,30,1,18,3,28,"NA:N,SA:N",0E14|1A14|2A20|3E20|4A1|5A5|6E11|7A7|8E2|9E3|10E1|11N1|12E2
58,8716,timeout,150,30,-22.50,8,5,0.8344,0,0.163317,49,55,90,30,30,2,19,3,27,"NA:N,SA:N",0E3|1A3|2A2|3E14|4A1|5A5|6E20|7A20|8A10|9A2|10E17|11A6|12E1
59,8866,timeout,150,30,-17.00,7,5,0.8315,0,0.149849,65,48,90,30,30,1,14,2,27,"NA:N,SA:N",0A18|1A19|2A1|3E19|4A13|5A5|6E20|7A6|8A3|9E3|10E3|11N1|12E3
60,9016,timeout,150,30,-8.00,9,4,0.8287,0,0.149954,60,44,90,30,30,2,16,0,26,"NA:N,SA:N",0A11|1A17|2A2|3E18|4A14|5A3|6E20|7A1|8A10|9A1|10E4|11A1|12E2
61,9166,timeout,150,30,-15.50,7,5,0.8258,0,0.153782,58,50,90,30,30,1,18,1,25,"NA:N,SA:N",0A4|1A20|2A13|3E19|4A2|5A1|6E20|7A1|8A17|9E5|10E3|11N1|12E3
62,9316,timeout,150,30,-23.50,6,6,0.8230,0,0.163088,59,55,90,30,30,1,15,3,29,"NA:N,SA:N",0E7|1A1|2A20|3E20|4A1|5A20|6A16|7A1|8E20|9E3|10E3|11N1|12E2
63,9464,timeout,148,30,-10.12,7,5,0.8202,0,0.138599,66,51,88,30,30,1,14,0,24,"NA:N,SA:N",0A17|1A1|2A20|3E19|4A20|5A6|6E20|7A1|8A1|9E6|10E3|11N1|12E3
64,9614,timeout,150,30,-23.50,6,6,0.8173,0,0.147120,53,50,90,30,30,0,20,2,25,"NA:N,SA:N",0A16|1A1|2A1|3E18|4A14|5A14|6E16|7A7|8E5|9E3|10E4|11N1|12E4
65,9764,timeout,150,30,-35.50,4,8,0.8145,0,0.153282,53,59,90,30,30,1,16,5,29,"NA:N,SA:N",0E1|1E13|2A12|3E14|4A18|5A16|6E17|7A7|8E5|9E3|10E3|11N1|12E3
66,9914,timeout,150,30,-23.50,6,6,0.8116,0,0.145996,69,53,90,30,30,0,13,3,27,"NA:N,SA:N",0A19|1A16|2A20|3E19|4A1|5A3|6E5|7A10|8E3|9E10|10E5|11N1|12E11
