121,45603,timeout,341,100,49.86,6,6,0.8556,0,0.658504,52,29,152,139,50,5,76,7,49,"NA:N,SA:N",0A5|1A11|2A2|3E1|4A11|5A9|6E15|7A14|8E7|9E2|10E1|11N1|12E3
122,45948,timeout,345,100,7.40,7,5,0.8545,0,0.638419,66,35,165,130,50,1,70,4,47,"NA:N,SA:N",0A12|1A1|2A11|3E10|4A20|5A20|6E15|7A1|8A1|9E6|10E3|11N1|12E1
123,46289,timeout,341,100,10.71,7,5,0.8534,0,0.633066,89,37,170,121,50,1,61,4,47,"NA:N,SA:N",0A20|1A20|2A20|3A19|4A1|5A8|6E18|7A1|8E4|9E7|10E3|11N1|12E5
124,46678,timeout,389,100,92.89,5,7,0.8522,0,0.621798,13,28,150,189,50,10,122,13,43,"NA:N,SA:N",0E3|1E1|2A1|3E1|4E15|5A1|6A8|7A1|8A2|9E4|10E2|11N1|12E2
125,47027,timeout,349,100,99.19,6,6,0.8511,0,0.628716,50,47,155,145,49,10,76,12,43,"NA:N,SA:N",0A8|1A1|2A20|3E12|4A1|5A2|6E13|7A18|8E11|9E3|10E4|11N1|12E4
126,47399,timeout,372,100,97.42,4,8,0.8499,0,0.626308,17,30,150,172,50,11,104,15,47,"NA:N,SA:N",0E1|1A3|2A4|3E2|4E4|5A9|6E13|7A1|8E3|9E2|10E2|11N1|12E3
127,47771,timeout,372,100,53.92,4,8,0.8487,0,0.638525,10,43,150,172,50,7,107,12,43,"NA:N,SA:N",0E1|1E2|2A6|3E1|4E16|5A1|6E14|7A1|8A2|9E3|10E3|11N1|12E3
128,48153,timeout,382,100,158.77,6,6,0.8475,0,0.629341,24,35,152,180,50,16,106,18,43,"NA:N,SA:N",0A1|1E1|2A1|3E3|4E4|5A16|6A2|7A3|8A1|9E20|10E4|11N1|12E3
129,48513,timeout,360,100,87.75,10,3,0.8464,0,0.603348,37,27,152,158,50,7,92,6,47,"NA:N,SA:N",0A2|1A20|2A1|3E16|4A1|5A2|6E10|7A4|8A2|9A1|10A3|11A1|12E1
130,48880,timeout,367,100,91.37,8,4,0.8452,0,0.608121,102,50,188,130,49,8,64,8,44,"NA:N,SA:N",0A20|1A20|2A20|3A16|4A11|5A12|6A2|7A1|8E15|9E17|10E9|11N1|12E9
131,49236,loss,356,92,10.76,0,12,0.8441,0,0.624783,0,49,149,165,42,6,101,14,35,"NA:E,SA:N",0E1|1E1|2E2|3E1|4E6|5E9|6E9|7E3|8E10|9E3|10E2|11N1|12E2
132,49592,timeout,356,100,85.01,7,5,0.8430,0,0.617328,43,25,152,154,50,8,87,10,46,"NA:N,SA:N",0A13|1A5|2A2|3E10|4A19|5A1|6E7|7A2|8A1|9E2|10E3|11N1|12E3
133,49912,timeout,320,100,36.70,6,6,0.8419,0,0.636098,55,62,150,120,50,4,58,7,46,"NA:N,SA:N",0E1|1A18|2A2|3E19|4A20|5A12|6A1|7A2|8E19|9E7|10E8|11N1|12E8
134,50256,timeout,344,100,6.24,3,10,0.8409,0,0.598036,29,119,150,144,50,3,82,10,45,"NA:E,SA:N",0E10|1E9|2E9|3E10|4E10|5E10|6E13|7E10|8E18|9A15|10A1|11A13|12E20
135,50636,timeout,380,100,97.40,9,4,0.8397,0,0.614722,55,25,172,158,50,9,90,10,47,"NA:N,SA:A",0E1|1E1|2A1|3E20|4E3|5A12|6A6|7A7|8A7|9A16|10A1|11A2|12A3
136,50991,loss,355,88,46.70,0,12,0.8385,0,0.597078,0,39,140,174,41,10,108,19,35,"NA:E,SA:N",0E1|1E1|2E1|3E2|4E3|5E4|6E9|7E4|8E3|9E6|10E2|11N1|12E3
137,51339,timeout,348,100,45.03,5,7,0.8374,0,0.617241,25,63,152,146,50,5,83,8,40,"NA:N,SA:N",0A3|1A1|2A14|3E18|4E20|5A2|6E8|7A5|8E8|9E3|10E3|11N1|12E3
138,51698,timeout,359,100,72.59,6,7,0.8363,0,0.609278,30,33,150,159,50,8,92,11,47,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5A9|6E9|7A1|8A1|9A4|10A1|11A14|12E19
139,52067,timeout,369,100,75.99,5,7,0.8351,0,0.639913,8,29,150,169,50,8,104,11,48,"NA:N,SA:N",0E2|1A1|2A1|3E7|4A4|5A1|6E7|7A1|8E5|9E2|10E3|11N1|12E3
140,52399,timeout,332,100,47.22,7,5,0.8341,0,0.611115,46,57,150,132,50,4,71,5,44,"NA:N,SA:N",0A2|1A8|2A20|3E19|4A9|5A1|6A5|7A1|8E18|9E6|10E7|11N1|12E7
141,52788,timeout,389,100,78.94,9,3,0.8328,0,0.590297,90,22,192,147,50,6,83,5,48,"NA:A,SA:N",0A20|1A20|2A5|3A8|4A4|5A13|6A5|7A7|8A8|9E17|10E3|11N1|12E2
142,53160,timeout,372,100,165.82,8,5,0.8317,0,0.614071,28,30,150,172,50,16,98,17,43,"NA:N,SA:N",0E3|1A3|2A12|3E2|4A3|5A1|6E20|7A3|8A3|9A2|10E2|11A1|12E3
143,53523,timeout,363,100,71.23,7,5,0.8305,0,0.629707,39,32,157,156,50,7,90,9,46,"NA:N,SA:N",0A2|1A12|2A5|3E19|4A2|5A2|6A13|7A3|8E3|9E3|10E4|11N1|12E3
144,53891,timeout,368,100,56.88,9,4,0.8293,0,0.607383,38,23,158,161,49,5,96,5,48,"NA:N,SA:N",0E1|1A1|2A5|3E15|4A9|5A2|6A2|7A12|8A2|9A1|10E3|11A4|12E4
145,54216,timeout,325,100,14.45,5,7,0.8283,0,0.604697,38,53,150,125,50,2,66,5,41,"NA:N,SA:N",0E1|1E3|2A1|3A1|4A3|5A19|6E20|7A14|8E20|9E3|10E3|11N1|12E3
146,54598,timeout,382,100,65.72,4,9,0.8271,0,0.589892,73,68,182,150,50,8,84,10,47,"NA:E,SA:A",0E3|1E3|2E4|3E4|4E8|5E4|6E15|7E7|8E20|9A18|10A20|11A15|12A20
147,54946,timeout,348,100,76.23,7,5,0.8260,0,0.606086,52,36,153,146,49,7,81,8,44,"NA:N,SA:N",0E3|1A14|2A1|3E16|4A3|5A4|6A6|7A10|8A14|9E13|10E2|11N1|12E2
148,55307,timeout,361,100,59.86,8,4,0.8249,0,0.583004,83,28,175,136,50,5,73,6,47,"NA:N,SA:N",0A1|1A13|2A20|3E13|4A17|5A20|6A1|7A3|8A8|9E6|10E5|11N1|12E4
149,55698,timeout,391,100,114.16,7,5,0.8236,0,0.590783,81,41,192,149,50,11,79,13,43,"NA:N,SA:N",0A20|1A20|2A20|3A1|4A2|5A17|6E11|7A1|8E8|9E17|10E2|11N1|12E3
150,56051,timeout,353,100,40.93,7,5,0.8225,0,0.584377,49,40,160,143,50,4,80,7,48,"NA:N,SA:N",0A8|1A20|2A2|3E11|4A1|5A1|6E17|7A1|8A16|9E4|10E5|11N1|12E3
151,56401,timeout,350,100,68.50,6,6,0.8214,0,0.588508,32,35,150,150,50,7,86,9,44,"NA:N,SA:N",0E1|1A17|2A3|3E17|4A9|5A1|6A1|7A1|8E4|9E3|10E3|11N1|12E7
152,56740,timeout,339,100,75.84,7,5,0.8203,0,0.591118,57,32,155,134,50,7,70,8,48,"NA:N,SA:N",0A1|1A18|2A1|3E19|4A2|5A9|6A19|7A7|8E2|9E5|10E3|11N1|12E3
153,57113,timeout,373,100,108.68,5,8,0.8191,0,0.581352,21,48,152,171,50,12,100,16,40,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E3|5E1|6E20|7A1|8A8|9A7|10E20|11A2|12A3
154,57448,timeout,335,100,25.65,6,6,0.8181,0,0.591523,46,49,150,135,50,3,74,6,46,"NA:N,SA:N",0A13|1A1|2A20|3E17|4A2|5A7|6E5|7A3|8E16|9E4|10E4|11N1|12E3
155,57809,timeout,361,100,61.86,6,6,0.8169,0,0.580770,30,31,153,159,49,6,96,7,41,"NA:N,SA:N",0A4|1A1|2A4|3E1|4E17|5A1|6E6|7A1|8A19|9E1|10E3|11N1|12E3
156,58198,timeout,389,100,137.69,8,5,0.8157,0,0.588899,15,16,150,189,50,13,118,14,45,"NA:N,SA:N",0A1|1A1|2E1|3E1|4A1|5E1|6E2|7A1|8A4|9A2|10E11|11A4|12A1
157,58569,timeout,371,100,160.66,10,3,0.8145,0,0.559147,35,31,153,169,49,14,97,12,45,"NA:N,SA:A",0E1|1A1|2A1|3E10|4E20|5A1|6A12|7A2|8A6|9A1|10A1|11A9|12A1
158,58930,timeout,361,100,112.41,10,3,0.8134,0,0.562150,23,30,150,161,50,10,92,10,44,"NA:N,SA:N",0A1|1A10|2A1|3E19|4A1|5A1|6E10|7A3|8A1|9A1|10A3|11A1|12E1
159,59286,timeout,356,100,96.96,8,5,0.8123,0,0.580515,22,35,150,156,50,9,89,10,49,"NA:N,SA:N",0E1|1E2|2A5|3E10|4A1|5A1|6E20|7A9|8A1|9A2|10A1|11A2|12E2
160,59615,timeout,329,100,30.84,8,4,0.8112,0,0.558321,71,28,152,127,50,2,67,2,46,"NA:N,SA:N",0A14|1A4|2A17|3E18|4A2|5A1|6A2|7A20|8A11|9E6|10E2|11N1|12E2
161,59959,timeout,344,100,46.94,8,4,0.8101,0,0.563948,39,37,150,144,50,4,82,5,48,"NA:N,SA:N",0A6|1A1|2A2|3E19|4A15|5A6|6A5|7A1|8A3|9E12|10E3|11N1|12E3
162,60353,timeout,394,100,121.69,4,9,0.8089,0,0.554875,76,105,189,155,50,13,85,17,47,"NA:E,SA:A",0E10|1E10|2E11|3E10|4E10|5E11|6E12|7E11|8E20|9A16|10A20|11A20|12A20
163,60686,loss,333,81,18.88,0,12,0.8078,0,0.557980,0,38,134,163,36,7,103,15,32,"NA:E,SA:N",0E1|1E1|2E1|3E1|4E6|5E1|6E4|7E6|8E3|9E9|10E3|11N1|12E2
164,61022,timeout,336,100,48.16,8,4,0.8068,0,0.573311,47,49,150,136,50,4,74,5,45,"NA:N,SA:N",0A1|1A20|2A1|3E19|4A1|5A8|6A1|7A4|8A11|9E20|10E5|11N1|12E5
165,61415,timeout,393,100,44.48,1,11,0.8055,0,0.570118,20,59,174,180,39,7,104,14,30,"NA:N,SA:N",0E1|1E1|2E1|3E4|4E5|5E3|6E10|7E13|8A20|9E16|10E2|11N1|12E3
166,61808,timeout,393,100,174.83,7,6,0.8043,0,0.553160,20,19,150,193,50,18,116,21,47,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5A3|6A1|7A2|8A4|9A4|10E14|11A5|12A1
167,62154,timeout,346,100,63.36,7,5,0.8032,0,0.545887,42,36,150,146,50,6,83,7,47,"NA:N,SA:N",0A4|1A15|2A1|3E16|4A3|5A1|6A1|7A17|8E13|9E2|10E2|11N1|12E3
168,62522,timeout,368,100,133.58,7,5,0.8020,0,0.560556,45,32,160,158,50,13,87,15,47,"NA:N,SA:N",0A2|1A3|2A2|3E3|4A1|5A20|6E15|7A16|8A1|9E6|10E4|11N1|12E4
169,62881,timeout,359,100,60.79,9,4,0.8009,0,0.556763,22,23,150,159,50,5,96,5,46,"NA:N,SA:N",0E1|1A1|2A1|3E14|4A1|5A3|6A2|7A8|8A2|9A1|10E5|11A3|12E3
170,63269,timeout,388,100,203.93,6,6,0.7996,0,0.552086,21,33,152,186,50,20,109,21,42,"NA:N,SA:N",0A3|1A9|2A1|3E3|4A1|5A4|6E16|7A3|8E6|9E3|10E2|11N1|12E3
171,63620,timeout,351,100,92.61,7,5,0.7985,0,0.550662,35,30,150,151,50,9,84,11,46,"NA:N,SA:N",0A5|1A6|2A1|3E3|4A1|5A19|6E17|7A1|8A2|9E6|10E2|11N1|12E2
172,63990,timeout,370,100,37.95,5,7,0.7974,0,0.558959,8,49,153,168,49,5,104,9,34,"NA:N,SA:N",0A3|1E5|2A1|3A1|4E16|5A1|6A2|7E14|8E3|9E3|10E3|11N1|12E5
173,64336,timeout,346,100,23.26,7,5,0.7963,0,0.542876,36,23,150,146,50,2,86,4,48,"NA:N,SA:N",0A20|1A9|2A1|3E9|4A1|5A1|6E5|7A3|8A1|9E5|10E2|11N1|12E2
174,64675,timeout,339,100,75.34,8,4,0.7952,0,0.548428,47,39,153,137,49,7,71,8,46,"NA:N,SA:N",0A19|1A9|2A1|3E19|4A1|5A11|6A4|7A1|8A1|9E15|10E2|11N1|12E3
175,65006,timeout,331,100,12.96,5,7,0.7941,0,0.549396,43,64,153,129,49,2,68,6,49,"NA:N,SA:N",0E11|1A12|2A1|3E20|4A20|5A9|6E14|7A1|8E7|9E4|10E4|11N1|12E4
176,65339,timeout,333,100,26.73,6,6,0.7931,0,0.558529,50,44,150,133,50,3,72,6,48,"NA:N,SA:N",0A1|1A8|2A16|3E20|4A20|5A4|6E11|7A1|8E1|9E8|10E2|11N1|12E2
177,65669,timeout,330,100,36.70,7,5,0.7920,0,0.533715,53,40,150,130,50,3,70,4,47,"NA:N,SA:N",0A11|1A1|2A5|3E16|4A2|5A7|6A8|7A19|8E17|9E2|10E3|11N1|12E2
178,66020,timeout,351,100,92.51,7,5,0.7909,0,0.542626,48,46,160,141,50,9,74,11,46,"NA:N,SA:N",0A9|1A1|2A2|3E2|4A1|5A3|6E20|7A20|8A12|9E17|10E3|11N1|12E4
179,66355,timeout,335,100,16.30,6,6,0.7899,0,0.531488,62,33,155,130,50,2,70,5,49,"NA:N,SA:N",0E1|1A20|2A1|3E11|4A14|5A1|6E15|7A20|8A6|9E1|10E2|11N1|12E3
180,66748,timeout,393,100,84.18,5,8,0.7886,0,0.536855,97,34,198,145,50,9,77,13,41,"NA:N,SA:A",0E1|1E1|2E1|3E3|4E1|5E3|6E12|7E12|8A17|9A20|10A20|11A20|12A20
181,67128,timeout,380,100,121.65,11,2,0.7874,0,0.531341,25,4,153,178,49,10,109,8,38,"NA:A,SA:N",0A7|1A4|2A1|3A1|4A2|5A1|6A1|7A2|8A2|9E3|10E1|11A2|12A2
182,67506,timeout,378,100,143.03,10,3,0.7862,0,0.539820,42,18,160,168,50,12,98,10,44,"NA:N,SA:A",0E1|1A9|2A1|3E8|4E9|5A1|6A4|7A6|8A2|9A2|10A2|11A9|12A6
183,67827,timeout,321,100,49.01,7,5,0.7852,0,0.531951,50,56,150,121,50,4,61,4,47,"NA:N,SA:N",0A2|1A20|2A18|3E20|4A1|5A2|6A1|7A6|8E19|9E6|10E6|11N1|12E5
184,68174,timeout,347,100,8.42,6,6,0.7841,0,0.530406,30,43,155,142,50,1,83,4,45,"NA:N,SA:N",0A10|1A7|2A1|3E12|4A10|5A1|6E15|7A1|8E5|9E3|10E3|11N1|12E5
185,68551,timeout,377,100,83.87,4,9,0.7829,0,0.517006,12,42,150,177,50,10,109,14,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E1|5E4|6E18|7E2|8A3|9A1|10E13|11A4|12A4
186,68901,timeout,350,100,74.05,7,5,0.7818,0,0.533458,41,35,152,148,50,7,83,8,45,"NA:N,SA:N",0A3|1A5|2A2|3E6|4A9|5A2|6A1|7A19|8E20|9E3|10E3|11N1|12E3
187,69239,timeout,338,100,51.43,8,4,0.7807,0,0.537288,51,40,152,136,50,4,74,4,42,"NA:N,SA:N",0A1|1A12|2A20|3E9|4A1|5A3|6A6|7A7|8A1|9E19|10E6|11N1|12E6
188,69602,timeout,363,100,142.38,6,7,0.7796,0,0.506450,47,47,152,161,50,15,86,19,45,"NA:N,SA:N",0E1|1E1|2E1|3E1|4E9|5A1|6E15|7A11|8A2|9A7|10E19|11A20|12A6
189,69958,timeout,356,100,75.81,6,6,0.7785,0,0.521003,41,38,155,151,50,8,85,11,47,"NA:N,SA:N",0E1|1A3|2A20|3E10|4A6|5A1|6E18|7A7|8A4|9E3|10E3|11N1|12E3
190,70301,timeout,343,100,8.83,8,4,0.7774,0,0.530301,148,74,207,86,50,0,27,1,49,"NA:N,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A8|7A20|8E17|9E19|10E19|11N1|12E19
191,70645,timeout,344,100,61.99,7,5,0.7763,0,0.543797,45,30,155,139,50,6,75,7,49,"NA:N,SA:N",0E1|1A13|2A2|3E15|4A20|5A2|6A2|7A2|8A4|9E10|10E2|11N1|12E2
192,70993,timeout,348,100,9.58,6,6,0.7752,0,0.497310,103,55,190,108,50,1,49,4,48,"NA:N,SA:N",0A15|1A14|2A20|3E10|4A18|5A16|6E5|7A20|8E11|9E14|10E8|11N1|12E7
193,71339,timeout,346,100,95.31,8,5,0.7741,0,0.531193,50,43,152,144,50,9,76,10,45,"NA:N,SA:N",0E1|1E1|2A3|3A1|4E20|5A1|6A20|7A3|8A4|9A2|10E15|11A16|12E6
194,71668,timeout,329,100,34.79,7,5,0.7731,0,0.517200,62,30,150,129,50,3,69,4,49,"NA:N,SA:N",0E1|1A18|2A1|3E16|4A1|5A1|6A19|7A14|8A8|9E1|10E6|11N1|12E6
195,72030,timeout,362,100,112.67,8,4,0.7719,0,0.522666,62,24,162,150,50,10,82,10,45,"NA:N,SA:N",0A8|1A20|2A3|3E14|4A6|5A2|6A1|7A2|8A20|9E3|10E4|11N1|12E3
196,72376,loss,346,88,5.16,0,13,0.7708,0,0.507807,0,96,143,163,40,6,100,14,36,"NA:E,SA:E",0E1|1E6|2E1|3E1|4E9|5E2|6E1|7E18|8E1|9E15|10E19|11E3|12E19
197,72710,timeout,334,100,41.49,7,5,0.7698,0,0.511796,69,37,152,132,50,4,69,6,44,"NA:N,SA:N",0A15|1A2|2A20|3E12|4A2|5A2|6E18|7A20|8A8|9E1|10E3|11N1|12E3
198,73031,timeout,321,100,75.51,7,5,0.7687,0,0.518233,59,63,150,121,50,7,57,8,45,"NA:N,SA:N",0E13|1A20|2A11|3E20|4A1|5A2|6A3|7A2|8A20|9E20|10E5|11N1|12E5
199,73385,timeout,354,100,59.99,8,4,0.7676,0,0.472705,29,34,153,152,49,5,89,5,39,"NA:N,SA:N",0A11|1A6|2A1|3E13|4A2|5A2|6A2|7A1|8A4|9E16|10E2|11N1|12E3
200,73727,timeout,342,100,39.82,2,11,0.7665,0,0.495584,37,121,147,145,50,6,81,12,43,"NA:E,SA:N",0E9|1E9|2E9|3E9|4E9|5E9|6E9|7E9|8E14|9E18|10E17|11A18|12A19
201,74094,timeout,367,100,33.22,4,8,0.7654,0,0.516570,7,34,152,167,48,4,104,7,41,"NA:N,SA:N",0E1|1E1|2A1|3E14|4E3|5A1|6A1|7A4|8E6|9E3|10E3|11N1|12E3
202,74402,timeout,308,100,47.48,6,6,0.7644,0,0.491628,81,64,150,108,50,5,45,8,43,"NA:N,SA:N",0E8|1A13|2A20|3E20|4A3|5A8|6E20|7A20|8A17|9E10|10E3|11N1|12E3
203,74744,timeout,342,100,75.22,7,5,0.7633,0,0.482705,40,35,150,142,50,7,78,8,47,"NA:N,SA:N",0A13|1E8|2A1|3A1|4E20|5A19|6A4|7A1|8A1|9E2|10E3|11N1|12E2
204,75118,timeout,374,100,89.39,8,5,0.7621,0,0.471226,24,27,153,172,49,8,106,8,48,"NA:N,SA:N",0E1|1E1|2A4|3E3|4E2|5A7|6A1|7A1|8A2|9A1|10E20|11A1|12A7
205,75450,timeout,332,100,38.77,8,5,0.7611,0,0.480223,52,52,152,130,50,3,69,3,42,"NA:N,SA:N",0E1|1A2|2A15|3E8|4A1|5A5|6E15|7A6|8A2|9A1|10E20|11A20|12E8
206,75801,timeout,351,100,63.11,7,5,0.7600,0,0.462601,59,53,167,134,50,6,69,7,45,"NA:N,SA:N",0A9|1A20|2A3|3E15|4A1|5A20|6E19|7A1|8A5|9E14|10E2|11N1|12E3
207,76164,timeout,363,100,69.38,8,4,0.7588,0,0.477870,27,23,152,163,48,6,97,6,41,"NA:N,SA:N",0A1|1A1|2A6|3E2|4A2|5A1|6A4|7A1|8A11|9E15|10E3|11N1|12E3
208,76437,loss,273,64,5.93,0,12,0.7579,0,0.469276,0,34,107,138,28,6,88,14,21,"NA:E,SA:N",0E1|1E1|2E1|3E2|4E1|5E4|6E5|7E3|8E9|9E2|10E2|11N1|12E3
209,76735,timeout,298,100,-9.62,5,7,0.7570,0,0.476701,67,88,150,98,50,0,40,4,47,"NA:N,SA:N",0E10|1A18|2A10|3E20|4A18|5A1|6E20|7A20|8E20|9E6|10E6|11N1|12E6
210,77061,timeout,326,100,36.66,6,6,0.7560,0,0.491071,45,70,150,126,50,4,64,7,48,"NA:N,SA:N",0E2|1A2|2A17|3E17|4A1|5A1|6E20|7A20|8A4|9E20|10E5|11N1|12E6
211,77374,timeout,313,100,-2.37,5,7,0.7550,0,0.481603,63,54,150,113,50,0,56,3,48,"NA:N,SA:N",0E1|1A16|2A4|3E18|4A3|5A20|6E20|7A20|8E6|9E3|10E3|11N1|12E3
212,77714,timeout,340,100,5.15,5,7,0.7539,0,0.454866,49,39,152,138,50,1,79,4,43,"NA:N,SA:N",0E3|1A19|2A9|3E15|4A1|5A18|6E12|7A2|8E2|9E3|10E2|11N1|12E2
213,78066,timeout,352,100,32.32,7,5,0.7528,0,0.454303,85,41,180,122,50,3,61,5,49,"NA:N,SA:N",0E5|1A3|2A12|3E20|4A14|5A20|6A15|7A20|8A1|9E7|10E4|11N1|12E5
214,78393,timeout,327,100,44.92,6,6,0.7518,0,0.478505,59,45,152,125,50,4,64,5,46,"NA:N,SA:N",0E1|1A16|2A1|3E18|4A20|5A11|6E19|7A7|8A4|9E1|10E3|11N1|12E3
215,78720,timeout,327,100,41.32,7,5,0.7507,0,0.457778,51,55,152,125,50,4,62,6,47,"NA:N,SA:N",0A20|1A4|2A3|3E19|4A1|5A3|6E20|7A1|8A19|9E10|10E3|11N1|12E3
216,79097,timeout,377,100,16.47,2,11,0.7495,0,0.459145,31,97,164,163,50,4,101,11,41,"NA:E,SA:N",0E7|1E6|2E7|3E7|4E7|5E7|6E11|7E7|8E8|9E14|10E16|11A18|12A13
217,79403,timeout,306,100,20.26,6,6,0.7486,0,0.450390,72,69,150,106,50,2,47,4,43,"NA:N,SA:N",0A1|1A20|2A20|3E19|4A19|5A4|6E20|7A8|8E19|9E4|10E3|11N1|12E4
218,79723,timeout,320,100,28.25,6,6,0.7475,0,0.459841,63,57,153,119,48,3,56,6,45,"NA:N,SA:N",0E1|1A18|2A3|3E12|4A20|5A2|6E20|7A5|8A15|9E16|10E4|11N1|12E4
219,80043,timeout,320,100,17.20,5,7,0.7465,0,0.442708,58,50,150,120,50,2,61,5,46,"NA:N,SA:N",0E1|1A20|2A20|3E10|4A2|5A5|6E10|7A11|8E18|9E3|10E4|11N1|12E4
220,80362,timeout,319,100,10.89,7,5,0.7455,0,0.438041,56,50,150,119,50,1,60,3,49,"NA:N,SA:N",0A17|1A16|2A1|3E19|4A5|5A11|6E20|7A2|8A4|9E7|10E2|11N1|12E2
221,80698,timeout,336,100,21.56,2,11,0.7445,0,0.459440,39,70,151,135,50,5,70,13,44,"NA:E,SA:N",0E1|1E1|2E1|3E11|4E2|5E2|6E6|7E5|8E5|9A19|10E16|11A20|12E20
222,81000,timeout,302,100,13.62,6,6,0.7435,0,0.446707,67,72,150,102,50,2,41,6,47,"NA:N,SA:N",0E17|1A19|2A7|3E20|4A12|5A20|6E20|7A5|8A4|9E9|10E5|11N1|12E1
223,81390,timeout,390,100,103.50,7,5,0.7423,0,0.443080,10,26,155,186,49,10,117,11,41,"NA:N,SA:N",0A1|1E1|2A1|3A1|4E12|5A1|6A1|7A4|8A1|9E8|10E2|11N1|12E3
224,81819,timeout,429,100,114.84,9,4,0.7409,0,0.444150,99,25,214,165,50,10,96,9,42,"NA:N,SA:A",0E1|1E1|2A1|3E5|4E18|5A3|6A4|7A2|8A20|9A9|10A20|11A20|12A20
225,82187,timeout,368,100,63.48,7,5,0.7397,0,0.449653,30,21,155,164,49,6,99,7,43,"NA:N,SA:N",0A16|1A9|2A1|3A1|4E6|5A1|6A1|7E4|8A1|9E4|10E3|11N1|12E4
226,82509,timeout,322,100,58.92,7,5,0.7387,0,0.464517,72,38,150,122,50,5,61,4,47,"NA:N,SA:N",0A6|1A20|2A20|3E18|4A18|5A3|6A2|7A3|8E13|9E3|10E2|11N1|12E2
227,82846,timeout,337,100,46.42,8,5,0.7377,0,0.459602,48,45,152,135,50,4,72,5,47,"NA:N,SA:N",0E1|1A5|2A2|3E10|4A1|5A3|6E20|7A20|8A1|9A1|10E12|11A15|12E2
228,83225,timeout,379,100,155.39,10,3,0.7365,0,0.469483,46,31,160,169,50,14,97,13,46,"NA:N,SA:N",0E1|1A8|2A4|3E12|4A1|5A7|6A1|7A1|8A3|9E18|10A1|11A1|12A19
229,83553,timeout,328,100,19.68,4,8,0.7354,0,0.480019,37,53,150,128,50,3,68,6,48,"NA:N,SA:N",0E4|1E3|2A16|3E19|4A1|5A6|6E15|7A14|8E4|9E2|10E3|11N1|12E3
230,83890,timeout,337,100,59.72,6,6,0.7343,0,0.467638,46,50,152,135,50,6,71,8,44,"NA:N,SA:N",0E1|1E5|2A19|3E17|4A13|5A3|6A3|7A2|8A6|9E17|10E5|11N1|12E5
231,84211,timeout,321,100,13.16,6,6,0.7333,0,0.466242,54,70,152,119,50,1,60,3,45,"NA:N,SA:N",0E20|1A14|2A20|3A1|4A2|5A13|6E20|7A4|8E18|9E4|10E4|11N1|12E4
232,84614,timeout,403,100,37.38,9,3,0.7321,0,0.474842,180,59,256,97,50,2,36,2,48,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9E19|10E20|11N1|12E20
233,84929,timeout,315,100,-8.95,5,7,0.7311,0,0.484634,49,69,150,115,50,0,57,4,42,"NA:N,SA:N",0E14|1A13|2A20|3E19|4A1|5A1|6E19|7A14|8E9|9E2|10E3|11N1|12E3
234,85274,timeout,345,100,66.10,9,4,0.7300,0,0.487284,43,34,152,143,50,5,80,4,44,"NA:N,SA:N",0E2|1A1|2A3|3E20|4A16|5A1|6A3|7A2|8A4|9A12|10E9|11A1|12E3
235,85648,timeout,374,100,151.14,8,5,0.7288,0,0.484336,23,35,150,174,50,15,100,17,47,"NA:N,SA:N",0E1|1E1|2A1|3E1|4A1|5A2|6A1|7A2|8A3|9A1|10E20|11A12|12E12
236,85968,timeout,320,100,31.55,6,6,0.7278,0,0.474882,55,67,152,118,50,3,57,5,46,"NA:N,SA:N",0E17|1A2|2A13|3E17|4A17|5A2|6A2|7A19|8E18|9E5|10E5|11N1|12E5
237,86299,timeout,331,100,45.16,7,5,0.7267,0,0.478582,47,39,152,129,50,4,67,4,47,"NA:N,SA:N",0A1|1A15|2A1|3E15|4A12|5A5|6E16|7A9|8A4|9E4|10E2|11N1|12E2
238,86641,timeout,342,100,3.57,7,5,0.7256,0,0.472785,134,63,199,93,50,0,35,2,45,"NA:N,SA:N",0A20|1A20|2A20|3A18|4A18|5A20|6E19|7A18|8E14|9E17|10E7|11N1|12E6
239,87056,timeout,415,100,168.75,10,3,0.7243,0,0.477023,107,41,210,155,50,15,82,13,50,"NA:N,SA:A",0E1|1A4|2A1|3A1|4E20|5A16|6E20|7A8|8A19|9A1|10A17|11A20|12A20
240,87371,timeout,315,100,28.70,5,7,0.7233,0,0.482590,69,65,152,113,50,4,50,8,46,"NA:N,SA:N",0E7|1E7|2A20|3E20|4A5|5A20|6A14|7A10|8E20|9E4|10E4|11N1|12E3
241,87704,timeout,333,100,47.53,6,6,0.7223,0,0.473363,62,36,150,133,50,5,70,8,45,"NA:N,SA:N",0E1|1A20|2A2|3E7|4A3|5A1|6E20|7A20|8A16|9E2|10E3|11N1|12E3
242,88074,timeout,370,100,133.50,5,7,0.7211,0,0.470033,30,29,150,170,50,14,99,17,48,"NA:N,SA:N",0E1|1E1|2A1|3E3|4E4|5A4|6A4|7A20|8A1|9E14|10E3|11N1|12E3
